Location_clean,Deprem_Sayisi,Ort_Buyukluk,Max_Buyukluk,Ort_Derinlik
YUNUSLAR-GEDIZ (KÜTAHYA) [EAST 2.4 KM],1,4.4,4.4,20.0
YUMRUTAS-GEDIZ (KÜTAHYA) [NORTH 3.5 KM],1,4.3,4.3,36.0
YUKARIDOLAYLAR-SIMAV (KÜTAHYA) [SOUTH EAST  1.8 KM],1,4.6,4.6,15.0
YESILYURT-ALTINTAS (KÜTAHYA) [NORTH EAST  1.3 KM],1,4.0,4.0,18.0
YESILYURT-ALTINTAS (KÜTAHYA) [NORTH 2.4 KM],1,4.6,4.6,43.0
YESILOVA-SIMAV (KÜTAHYA) [SOUTH EAST  1.3 KM],1,4.0,4.0,4.9
YESILOVA-GEDIZ (KÜTAHYA) [NORTH EAST  5.5 KM],1,4.5,4.5,47.0
YESILOVA-GEDIZ (KÜTAHYA) [NORTH EAST  4.2 KM],1,4.9,4.9,22.0
YESILKOY-YENICE (KARABÜK) [SOUTH WEST  0.9 KM],1,4.6,4.6,30.0
YERKUYU-ILGAZ (ÇANKIRI) [SOUTH EAST  0.7 KM],1,5.0,5.0,10.0
YENIYAPAN-DELICE (KIRIKKALE) [NORTH WEST  3.0 KM],1,4.0,4.0,5.0
YENIKOY-TAVSANLI (KÜTAHYA) [EAST 1.6 KM],1,4.0,4.0,56.0
YENIKOY-SIMAV (KÜTAHYA) [SOUTH WEST  2.3 KM],1,5.4,5.4,28.0
YENIKOY-SILOPI (SIRNAK) [SOUTH EAST  2.4 KM],1,5.5,5.5,5.0
UCAGAC-SILOPI (SIRNAK) [SOUTH WEST  0.9 KM],1,4.0,4.0,4.9
UCAGAC-SILOPI (SIRNAK) [SOUTH EAST  2.0 KM],1,4.0,4.0,6.5
UCAGAC-SILOPI (SIRNAK) [SOUTH EAST  0.3 KM],1,4.3,4.3,3.4
TÜRKIYE-SURIYE SINIR BÖLGESI,1,4.6,4.6,100.0
SOGUT-SIMAV (KÜTAHYA) [SOUTH 0.3 KM],1,4.6,4.6,9.9
SOGUT-SIMAV (KÜTAHYA) [NORTH WEST  1.3 KM],1,4.9,4.9,8.4
SOGUT-SIMAV (KÜTAHYA) [NORTH EAST  4.4 KM],1,4.4,4.4,6.8
SOGUT-SIMAV (KÜTAHYA) [NORTH EAST  3.9 KM],1,4.0,4.0,8.1
SOGUT-SIMAV (KÜTAHYA) [NORTH EAST  3.2 KM],1,5.9,5.9,6.9
SOGUT-SIMAV (KÜTAHYA) [NORTH EAST  3.0 KM],1,4.4,4.4,4.5
KIZILCIK-SIMAV (KÜTAHYA) [NORTH EAST  4.7 KM],1,4.0,4.0,10.0
SOGUT-SIMAV (KÜTAHYA) [NORTH EAST  1.6 KM],1,4.3,4.3,6.4
SOGUT-SIMAV (KÜTAHYA) [NORTH EAST  1.4 KM],1,4.3,4.3,6.4
SOGUT-SIMAV (KÜTAHYA) [NORTH 4.5 KM],1,4.2,4.2,6.6
SOGUT-SIMAV (KÜTAHYA) [NORTH 2.3 KM],1,4.7,4.7,11.6
SOGUCAK-YENICE (ÇANAKKALE) [SOUTH WEST  2.3 KM],1,6.7,6.7,10.0
SOGANLI-OVACIK (KARABÜK) [SOUTH WEST  1.9 KM],1,5.7,5.7,40.0
SINOP,1,4.6,4.6,30.0
SEYHLER-HISARCIK (KÜTAHYA) [EAST 2.5 KM],1,5.3,5.3,32.0
SEYHCAKIR-HISARCIK (KÜTAHYA) [SOUTH WEST  3.1 KM],1,4.4,4.4,37.0
SENKOY-SIMAV (KÜTAHYA) [NORTH EAST  2.6 KM],1,4.0,4.0,13.0
SENKOY-SIMAV (KÜTAHYA) [NORTH EAST  2.1 KM],1,4.1,4.1,5.0
SENKOY-SIMAV (KÜTAHYA) [NORTH EAST  1.7 KM],1,4.2,4.2,5.4
SENKOY-SIMAV (KÜTAHYA) [NORTH EAST  0.9 KM],1,4.5,4.5,8.7
SENKOY-SIMAV (KÜTAHYA) [NORTH EAST  0.5 KM],1,4.0,4.0,5.0
SENKOY-SIMAV (KÜTAHYA) [NORTH EAST  0.4 KM],1,4.0,4.0,7.6
SENKOY-SIMAV (KÜTAHYA) [EAST 2.0 KM],1,4.0,4.0,4.9
SOGUT-SIMAV (KÜTAHYA) [SOUTH EAST  0.6 KM],1,4.6,4.6,5.0
